index,title,publication_year
114,Near-optimal Coresets for Robust Clustering,2022
115,Noise Injection Node Regularization for Robust Learning,2022
116,Noise-Robust De-Duplication at Scale,2022
117,On Robust Prefix-Tuning for Text Classification,2022
118,On the Convergence of Certified Robust Training with Interval Bound Propagation,2022
119,On the Perils of Cascading Robust Classifiers,2022
120,On the Robustness of Safe Reinforcement Learning under Observational Perturbations,2022
121,Out-of-Distribution Detection and Selective Generation for Conditional Language Models,2022
122,Out-of-distribution Representation Learning for Time Series Classification,2022
123,Pareto Invariant Risk Minimization: Towards Mitigating the Optimization Dilemma in Out-of-Distribution Generalization,2022
124,Part-Based Models Improve Adversarial Robustness,2022
125,Patch-Fool: Are Vision Transformers Always Robust Against Adversarial Perturbations?,2022
126,Probabilistically Robust Recourse: Navigating the Trade-offs between Costs and Robustness in Algorithmic Recourse,2022
127,Robust Active Distillation,2022
128,Robust Explanation Constraints for Neural Networks,2022
129,Robust Fair Clustering: A Novel Fairness Attack and Defense Framework,2022
130,Robust Multivariate Time-Series Forecasting: Adversarial Attacks and Defense Mechanisms,2022
131,Robust and Controllable Object-Centric Learning through Energy-based Models,2022
132,Robustness to corruption in pre-trained Bayesian neural networks,2022
133,Self-ensemble Adversarial Training for Improved Robustness,2022
134,Sparsity Winning Twice: Better Robust Generalization from More Efficient Training,2022
135,Squeeze Training for Adversarial Robustness,2022
136,StableDR: Stabilized Doubly Robust Learning for Recommendation on Data Missing Not at Random,2022
137,TDR-CL: Targeted Doubly Robust Collaborative Learning for Debiased Recommendations,2022
138,TextGrad: Advancing Robustness Evaluation in NLP by Gradient-Driven Optimization,2022
139,Uncertainty Modeling for Out-of-Distribution Generalization,2022
140,Understanding The Robustness of Self-supervised Learning Through Topic Modeling,2022
141,Understanding Zero-shot Adversarial Robustness for Large-Scale Models,2022
142,Why adversarial training can hurt robust accuracy,2022
143,ArCL: Enhancing Contrastive Learning with Augmentation-Robust Representations,2023
144,Bitrate-Constrained DRO: Beyond Worst Case Robustness To Unknown Group Shifts,2023
145,Brain-like representational straightening of natural movies in robust feedforward neural networks,2023
146,Can Agents Run Relay Race with Strangers? Generalization of RL to Out-of-Distribution Trajectories,2023
147,Collective Robustness Certificates: Exploiting Interdependence in Graph Neural Networks,2023
148,Combating Exacerbated Heterogeneity for Robust Models in Federated Learning,2023
149,Distributionally Robust Recourse Action,2023
150,Dr.Spider: A Diagnostic Evaluation Benchmark towards Text-to-SQL Robustness,2023
151,Efficient Certified Training and Robustness Verification of Neural ODEs,2023
152,Energy-based Out-of-Distribution Detection for Graph Neural Networks,2023
153,Exploring and Exploiting Decision Boundary Dynamics for Adversarial Robustness,2023
154,Hebbian and Gradient-based Plasticity Enables Robust Memory and Rapid Learning in RNNs,2023
155,Neural Architecture Design and Robustness: A Dataset,2023
156,On the Effectiveness of Out-of-Distribution Data in Self-Supervised Long-Tail Learning.,2023
157,Out-of-distribution Detection with Implicit Outlier Transformation,2023
158,Pushing the Accuracy-Group Robustness Frontier with Introspective Self-play,2023
159,RGI: robust GAN-inversion for mask-free image inpainting and unsupervised pixel-wise anomaly detection,2023
160,Re-weighting Based Group Fairness Regularization via Classwise Robust Optimization,2023
161,Revisiting Robustness in Graph Machine Learning,2023
162,RoPAWS: Robust Semi-supervised Representation Learning from Uncurated Data,2023
163,Robust Algorithms on Adaptive Inputs from Bounded Adversaries,2023
164,Robust Scheduling with GFlowNets,2023
165,Temporal Coherent Test Time Optimization for Robust Video Classification,2023
166,Topology-aware Robust Optimization for Out-of-Distribution Generalization,2023
167,ARMOURED: Adversarially Robust MOdels using Unlabeled data by REgularizing Diversity,
168,Adaptive Robust Evidential Optimization For Open Set Detection from Imbalanced Data,
169,Adversarial Robustness Through the Lens of Causality,
170,Adversarially Robust Conformal Prediction,
171,"Audio Lottery: Speech Recognition Made Ultra-Lightweight, Noise-Robust, and Transferable",
172,Certifiably Robust Policy Learning against Adversarial Multi-Agent Communication,
173,Certified Robustness for Deep Equilibrium Models via Interval Bound Propagation,
174,Certify or Predict: Boosting Certified Robustness with Compositional Architectures,
175,"Chasing All-Round Graph Representation Robustness: Model, Training, and Optimization",
176,DeSKO: Stability-Assured Robust Control with a Deep Stochastic Koopman Operator,
177,DensePure: Understanding Diffusion Models for Adversarial Robustness,
178,Discovering Informative and Robust Positives for Video Domain Adaptation,
179,Distributionally Robust Post-hoc Classifiers under Prior Shifts,
180,Diversify and Disambiguate: Out-of-Distribution Robustness via Disagreement,
181,Extracting Robust Models with Uncertain Examples,
182,Fundamental limits on the robustness of image classifiers,
183,Holistic Adversarially Robust Pruning,
184,Improving Out-of-distribution Generalization with Indirection Representations,
185,Invariant Causal Representation Learning for Out-of-Distribution Generalization,
186,"Learning MLPs on Graphs: A Unified View of Effectiveness, Robustness, and Efficiency",
187,Learning Robust State Abstractions for Hidden-Parameter Block MDPs,
188,Min-Max Multi-objective Bilevel Optimization with Applications in Robust Machine Learning,
189,On Explaining Neural Network Robustness with Activation Path,
190,Out-of-Distribution Detection based on In-Distribution Data Patterns Memorization with Modern Hopfield Energy,
191,Provable Robustness against Wasserstein Distribution Shifts via Input Randomization,
192,Provably robust classification of adversarial examples with detection,
193,ROCO: A General Framework for Evaluating Robustness of Combinatorial Optimization Solvers on Graphs,
194,Reducing Excessive Margin to Achieve a Better Accuracy vs. Robustness Trade-off,
195,Revisiting flow generative models for Out-of-distribution detection,
196,Robust Curriculum Learning: from clean label detection to noisy label self-correction,
197,Robust Graph Dictionary Learning,
198,Robust Overfitting may be mitigated by properly learned smoothening,
199,Robust Unlearnable Examples: Protecting Data Privacy Against Adversarial Learning,
200,Robust early-learning: Hindering the memorization of noisy labels,
201,"Self-supervised Adversarial Robustness for the Low-label, High-data Regime",
202,The Tilted Variational Autoencoder: Improving Out-of-Distribution Detection,
203,Towards Robust Object Detection Invariant to Real-World Domain Shifts,
204,Towards Robustness Certification Against Universal Perturbations,
205,Towards Understanding the Robustness Against Evasion Attack on Categorical Data,
206,Turning the Curse of Heterogeneity in Federated Learning into a Blessing for Out-of-Distribution Detection,
